"imatge","Marca visible","Marca no visible","Beige","Blanc","Blau","Gris","Marró","Negre","Rosa","Taronja","Verd","Vermell","Llis","Estampat","Home","Dona","Sense model","Edat_model","Samarreta màniga curta","Samarreta màniga llarga","Dessuadora","Dessuadora amb caputxa"
"1FI21J009-C11@11.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"23",0,0,1,0
"1FI22S00V-A11@10.jpg",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"26",0,0,0,1
"1VJ22S01Z-Q11@8.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"24",0,0,1,0
"2NA21J0K0-M11@1.2.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,1,0
"2NA21J0LP-K11@1.1.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,1,0
"2NA21J0M4-M12@1.1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,0,1
"2NA22S08D-M11@1.1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,1,0
"2NA22S09W-C12@1.1.jpg",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,NA,0,0,0,1
"2NA22S0A0-C11@1.1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,1,0
"4BE22O03S-C11@10.jpg",0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"23",0,1,0,0
"C1422S038-K11@13.1.jpg",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"24",0,0,1,0
"C1822S032-G11@13.2.jpg",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"25",0,0,1,0
"C2342D00U-G11@8.jpg",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"28",1,0,0,0
"CO422S03F-K11@9.jpg",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"24",0,0,0,1
"DC122O052-Q11@14.2.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"24",0,0,1,0
"DRI22O00C-J11@16.2.jpg",0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"24",1,0,0,0
"EA722O003-A11@8.jpg",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"21",1,0,0,0
"ED122S05K-C11@12.1.jpg",0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"20",0,0,1,0
"EV421J060-Q11@7.jpg",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"22",0,0,1,0
"FA522S00M-Q11@10.jpg",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"27",0,0,1,0
"GP022Q01V-G11@10.jpg",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"32",0,0,0,1
"GS122O0G0-Q11@12.1.jpg",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"28",0,1,0,0
"GS122S06V-N11@10.jpg",0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"28",0,0,1,0
"GU122O0AD-M11@9.jpg",1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"30",0,1,0,0
"H0421J011-K11@8.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"22",0,0,0,1
"H0422O01W-Q11@8.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"27",1,0,0,0
"HOS21J000-C11@16.jpg",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"25",0,0,0,1
"HU722O03K-A11@7.jpg",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"26",1,0,0,0
"JA222S12S-G11@8.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"26",0,0,0,1
"JAL22S000-C11@7.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"28",0,0,1,0
"JU621J00H-Q11@8.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"28",0,0,1,0
"LA222S02G-K11@10.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"22",0,0,0,1
"LE222O03E-A11@8.jpg",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"25",1,0,0,0
"LE222S01C-M11@10.jpg",1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"25",0,0,1,0
"LE422S00X-Q11@8.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"26",0,0,1,0
"LY222S01H-K11@8.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"28",0,0,1,0
"M0M22O00C-A11@10.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,1,0,0,0
"M0M22O0A3-A11@1.1.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"29",1,0,0,0
"M0M22O0B5-Q11@7.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"27",1,0,0,0
"M0M22S03N-Q11@1.1.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,NA,0,0,0,1
"MOQ21J005-Q11@10.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,NA,0,0,0,1
"NA621J020-C11@10.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"24",0,0,0,1
"NA622S02J-C11@18.1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"30",0,0,0,1
"NE222O00T-A11@8.jpg",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"26",1,0,0,0
"NI121J086-N11@16.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"25",0,0,1,0
"NI121J088-M11@10.jpg",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"23",0,0,0,1
"NI121J08I-C11@15.jpg",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,"25",0,0,1,0
"NI122O0AR-B11@8.jpg",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"26",1,0,0,0
"NI122O0AV-K11@12.jpg",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"25",1,0,0,0
